"sourceNode","targetNode"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<40,18>--<40,38>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<94,16>--<94,40>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<40,18>--<40,38>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<168,22>--<168,46>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<40,18>--<40,38>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<243,22>--<243,46>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<41,5>--<41,71>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1117,12>--<1117,25>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<41,5>--<41,71>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<41,5>--<41,71>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<41,18>--<41,70>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1964,27>--<1964,56>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<41,18>--<41,60>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1122,19>--<1122,40>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<41,18>--<41,60>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<207,33>--<207,47>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<41,18>--<41,60>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<94,16>--<94,40>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<41,18>--<41,60>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<168,22>--<168,46>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<41,18>--<41,60>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<243,22>--<243,46>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<42,5>--<42,23>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1117,12>--<1117,25>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<42,5>--<42,23>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<42,5>--<42,23>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<43,5>--<43,87>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1117,12>--<1117,25>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<43,5>--<43,87>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<43,5>--<43,87>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<43,18>--<43,86>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<107,17>--<107,37>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<43,18>--<43,86>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<181,23>--<181,43>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<43,18>--<43,86>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<256,23>--<256,43>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<44,5>--<44,81>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1117,12>--<1117,25>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<44,5>--<44,81>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<44,5>--<44,81>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<44,18>--<44,80>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<107,17>--<107,37>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<44,18>--<44,80>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<181,23>--<181,43>)"
